Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility_Ratio,Item_Type_Combined,Outlet_Years,Outlet,Item
0,FDA15,249.8092,3735.138,0.016047301,9.3,OUT049,0,1,1,0.9310779543761083,1,14,9,156
2,DRC01,48.2692,443.4228,0.019278216,5.92,OUT018,2,1,2,0.9334195208758378,0,4,3,8
0,FDN15,141.618,2097.27,0.016760075,17.5,OUT049,0,1,1,0.9600687539048446,1,14,9,662
2,FDX07,182.095,732.38,0.017834337888888892,19.2,OUT010,2,1,0,1.0,1,15,0,1121
1,NCD19,53.8614,994.7052,0.009779828555555557,8.93,OUT013,2,0,1,1.0,2,26,1,1297
2,FDP36,51.4008,556.6088,0.057058688875,10.395,OUT018,2,1,2,1.0,1,4,3,758
2,FDO10,57.6588,343.5528,0.012741088999999999,13.65,OUT013,2,0,1,1.4971974776517427,1,26,1,696
0,FDP10,107.7622,4022.7636,0.127469857,19.0,OUT027,2,1,3,0.8704928816397633,1,28,5,738
2,FDH17,96.9726,1076.5986,0.016687114,16.2,OUT045,1,1,1,0.9241603619293527,1,11,7,440
2,FDU28,187.8214,4710.535,0.09444959,19.2,OUT017,1,1,1,0.9639830398302507,1,6,2,990
0,FDY07,45.5402,1516.0266,0.040626524444444444,11.8,OUT049,0,1,1,1.0,1,14,9,1171
2,FDA03,144.1102,2187.153,0.045463773,18.5,OUT046,0,2,1,1.0366952071584155,1,16,8,147
2,FDX32,145.4786,1589.2646,0.1000135,15.1,OUT049,0,1,1,1.026359813124039,1,14,9,1142
2,FDS46,119.6782,2145.2076,0.047257328,17.6,OUT046,0,2,1,0.922289906298101,1,16,8,904
0,FDF32,196.4426,1977.4260000000002,0.06802430000000001,16.35,OUT013,2,0,1,1.1713313653743493,1,26,1,375
2,FDP49,56.3614,1547.3192,0.06908896099999999,9.0,OUT046,0,2,1,1.0280725124413592,1,16,8,767
1,NCB42,115.3492,1621.8888,0.008596051,11.8,OUT018,2,1,2,1.0031395479206202,2,4,3,1280
2,FDP49,54.3614,718.3982,0.06919637599999999,9.0,OUT049,0,1,1,1.0296708923753675,1,14,9,767
0,DRI11,113.2834,2303.6679999999997,0.034237682,8.26,OUT027,2,1,3,0.8704928693111866,0,28,5,79
0,FDU02,230.5352,2748.4224,0.10249212,13.35,OUT035,1,2,1,0.922115518306462,1,9,6,968
2,FDN22,250.8724,3775.086,0.138190277,18.85,OUT013,2,0,1,1.1399044941112717,1,26,1,666
2,FDW12,144.5444,4064.0432,0.035399923,8.315,OUT027,2,1,3,0.9543090781180374,1,28,5,1076
1,NCB30,196.5084,1587.2672,0.025698133999999997,14.6,OUT035,1,2,1,0.8628943947372766,2,9,6,1278
0,FDC37,107.6938,214.3876,0.057556998,15.5,OUT019,0,2,0,1.5315371875133978,1,28,4,259
2,FDR28,165.021,4078.025,0.025896485,13.85,OUT046,0,2,1,0.9296326154440038,1,16,8,843
1,NCD06,45.906000000000006,838.908,0.099887103,13.0,OUT017,1,1,1,0.9275067672165533,2,6,2,1294
2,FDV10,42.3112,1065.28,0.06669343700000001,7.645,OUT035,1,2,1,1.0602351029427202,1,9,6,1024
0,DRJ59,39.1164,308.9312,0.019356131999999998,11.65,OUT013,2,0,1,1.035277578029896,0,26,1,101
2,FDE51,45.5086,178.4344,0.161466534,5.925,OUT010,2,1,0,1.4445814400022103,1,15,0,350
2,FDC14,43.6454,125.8362,0.072221801,14.5,OUT019,0,2,0,1.679002681283213,1,28,4,244
0,FDV38,55.7956,163.7868,0.17034855100000001,19.25,OUT010,2,1,0,1.4641166675359907,1,15,0,1048
1,NCS17,96.4436,2741.7644,0.080829372,18.6,OUT018,2,1,2,1.0031395405819457,2,4,3,1480
0,FDP33,256.6672,3068.0064,0.0930934742,18.7,OUT018,2,1,2,1.0,1,4,3,756
0,FDO23,93.1436,2174.5028,0.14246229066666669,17.85,OUT045,1,1,1,1.0,1,11,7,706
0,DRH01,174.8738,2085.2856,0.097904029,17.5,OUT046,0,2,1,0.9222899199987084,0,16,8,64
1,NCX29,146.7102,3791.0652,0.08929113699999999,10.0,OUT049,0,1,1,0.8760887635003263,2,14,9,1533
2,FDV20,128.0678,2797.6916,0.059511812000000004,20.2,OUT027,2,1,3,0.9544539631769144,1,28,5,1032
2,DRZ11,122.5388,1609.9044,0.113123893,8.85,OUT018,2,1,2,1.003139534910143,0,4,3,143
2,FDX10,36.9874,388.1614,0.12311145300000001,6.384999999999999,OUT027,2,1,3,1.0227997426879307,1,28,5,1124
0,FDB34,87.6198,2180.495,0.026480953999999998,15.25,OUT027,2,1,3,0.9251308290764401,1,28,5,214
0,FDU02,230.6352,3435.528,0.102511504,13.35,OUT046,0,2,1,0.9222899150035627,1,16,8,968
0,FDK43,126.00200000000001,2150.534,0.02681843,9.8,OUT013,2,0,1,0.9215224160526706,1,26,1,567
0,FDA46,192.9136,2527.3768,0.117818348,13.6,OUT049,0,1,1,0.9310779364692868,1,14,9,180
0,FDC02,259.9278,6768.5228,0.06910283099999999,21.35,OUT018,2,1,2,0.9334195377024116,1,4,3,236
2,FDL50,126.5046,373.5138,0.042277867000000004,12.15,OUT013,2,0,1,0.9980787902561443,1,26,1,611
0,FDM39,178.1002,358.2004,0.08949892599999999,6.42,OUT010,2,1,0,1.464116667660315,1,15,0,641
1,NCP05,153.3024,2428.8384,0.018756953777777776,19.6,OUT045,1,1,1,1.0,2,11,7,1438
0,FDV49,265.2226,5815.0972,0.025879577,10.0,OUT045,1,1,1,0.9241603460120508,1,11,7,1057
2,FDL12,60.622,2576.646,0.121632721,15.85,OUT046,0,2,1,0.8747287915078714,1,16,8,586
2,FDS02,196.8794,780.3176,0.25539489600000004,10.195000000000002,OUT019,0,2,0,2.0308877247907904,1,28,4,869
1,NCL17,143.8812,3134.5864,0.067779712,7.39,OUT046,0,2,1,0.8747287887220742,2,16,8,1378
0,FDM40,141.5154,850.8924,0.159803853,10.195,OUT013,2,0,1,1.0365304276483922,1,26,1,642
2,FDR13,117.0492,810.9444,0.028696932,9.895,OUT013,2,0,1,0.8740008759338731,1,26,1,830
0,FDA43,196.3794,3121.2704,0.065041581,10.895,OUT017,1,1,1,0.8796766099576357,1,6,2,177
1,NCP18,151.4708,4815.0656,0.028760012999999997,12.15,OUT017,1,1,1,0.9275067647960544,2,6,2,1442
0,FDK21,249.0408,6258.52,0.010053105,7.905,OUT018,2,1,2,0.9334195624341675,1,4,3,553
1,NCX54,106.1622,2117.244,0.048157338,9.195,OUT045,1,1,1,0.9315179298292239,2,11,7,1538
0,DRK35,38.0506,796.9626,0.071958197,8.365,OUT049,0,1,1,0.8760887617519185,0,14,9,107
0,FDY21,194.511,4910.275,0.17348130399999998,15.1,OUT046,0,2,1,1.1416630232284466,1,16,8,1183
0,FDI26,180.0344,892.172,0.061082177,5.9399999999999995,OUT019,0,2,0,1.61481058875214,1,28,4,485
0,FDM20,246.9144,3185.1872,0.0364918673,10.0,OUT018,2,1,2,1.0,1,4,3,629
2,FDV27,87.3514,1062.6168,0.040071131,7.97,OUT045,1,1,1,0.8503936434710149,1,11,7,1039
0,FDF09,38.2848,484.7024,0.012090074,6.215,OUT027,2,1,3,0.9251308536486637,1,28,5,361
2,FDY40,51.0692,147.8076,0.15028599,15.5,OUT019,0,2,0,1.8569920498948196,1,28,4,1199
0,FDY45,255.8356,2543.356,0.026015518999999997,17.5,OUT027,2,1,3,1.1658562566726927,1,28,5,1202
0,FDC46,185.4266,184.4266,0.195068226,17.7,OUT010,2,1,0,1.5560143953260468,1,15,0,266
0,FDH19,172.5738,4865.6664,0.033082215,19.35,OUT035,1,2,1,0.9221155127052099,1,9,6,441
2,FDZ03,186.024,1118.5439999999999,0.078946455,13.65,OUT045,1,1,1,1.044138187445984,1,11,7,1218
0,DRH37,164.8526,2302.3364,0.041700756,17.6,OUT045,1,1,1,0.8765027640696678,0,11,7,72
1,NCI17,95.84100000000001,2027.361,0.14342264300000002,8.645,OUT046,0,2,1,1.0277767942566969,2,16,8,1343
2,FDJ58,170.1764,3435.528,0.10529607199999999,15.6,OUT046,0,2,1,0.8747287875118142,1,16,8,541
2,FDL12,59.222,599.22,0.121531501,15.85,OUT013,2,0,1,0.8740008619873568,1,26,1,586
0,FDH35,164.7526,4604.6728,0.05810121044444445,18.25,OUT045,1,1,1,1.0,1,11,7,453
0,FDG02,189.6188,2285.0256,0.011324862,7.855,OUT017,1,1,1,0.9275067286121007,1,6,2,394
1,NCZ18,254.3698,5580.7356,0.186357148,7.825,OUT049,0,1,1,1.029857103248895,2,14,9,1552
2,FDC29,114.0176,2290.3520000000003,0.024205661,8.39,OUT046,0,2,1,0.9990697616442725,1,16,8,254
0,FDQ10,172.3422,1207.0954,0.033230816,12.85,OUT049,0,1,1,0.9237238339071363,1,14,9,781
0,FDN48,89.9804,643.1628,0.113720344,13.349999999999998,OUT019,0,2,0,1.5315372016230429,1,28,4,682
0,FDL04,104.9622,1587.933,0.11255650699999999,19.0,OUT017,1,1,1,0.9275067671896534,1,6,2,582
0,FDV25,222.5456,5305.0944,0.04441604033333333,5.905,OUT045,1,1,1,1.0,1,11,7,1037
0,FDD58,101.87,1697.79,0.05935224099999999,7.76,OUT046,0,2,1,0.8747287866525946,1,16,8,316
2,FDN04,180.3344,1427.4752,0.014087057,11.8,OUT046,0,2,1,1.1416114694007558,1,16,8,656
0,FDV45,187.9556,4693.89,0.045230944,16.75,OUT018,2,1,2,0.9260469457443702,1,4,3,1053
1,NCL18,194.6136,583.2408,0.293417759,18.849999999999998,OUT019,0,2,0,1.6148105893820424,2,28,4,1379
2,FDR12,171.3764,3091.9752,0.031382044,12.599999999999998,OUT027,2,1,3,0.8704928746102873,1,28,5,829
2,FDG20,177.0028,2479.4392,0.12639886,15.5,OUT017,1,1,1,0.9348909885210056,1,6,2,404
